City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
301,Kavaratti,10.5669,72.642,84.69,67,15,6.85,IN,few clouds
302,Ostrovnoy,68.0531,39.5131,34.34,99,100,3.94,RU,overcast clouds
303,Sisimiut,66.9395,-53.6735,37.47,67,1,9.57,GL,clear sky
304,Raymond Terrace,-32.75,151.75,71.01,56,2,5.75,AU,clear sky
305,Sao Joaquim,-28.2939,-49.9317,54.54,98,99,1.57,BR,overcast clouds
306,Abu Samrah,35.3029,37.1841,69.82,38,73,8.48,SY,light rain
307,Amuntai,-2.4177,115.2494,94.03,44,72,0.87,ID,broken clouds
308,Huarmey,-10.0681,-78.1522,67.78,85,2,8.1,PE,clear sky
309,Rize,40.9044,40.8949,41.16,64,100,5.21,TR,overcast clouds
310,Carupano,10.6678,-63.2585,75.78,90,71,10.85,VE,broken clouds
311,Marienburg,54.0359,19.0266,34.0,69,44,4.52,PL,scattered clouds
312,Dingle,10.9995,122.6711,90.21,52,61,2.68,PH,light rain
313,Tiksi,71.6872,128.8694,32.77,92,100,11.1,RU,overcast clouds
314,Biak,-0.9131,122.8766,83.53,65,76,5.03,ID,broken clouds
315,Isangel,-19.55,169.2667,86.0,70,75,5.75,VU,broken clouds
316,Bintulu,3.1667,113.0333,87.8,74,40,3.44,MY,scattered clouds
317,Tasiilaq,65.6145,-37.6368,39.2,75,75,11.5,GL,broken clouds
318,Banepa,27.6298,85.5214,69.8,46,20,3.44,NP,few clouds
319,Concordia,-31.393,-58.0209,63.0,94,0,5.99,AR,clear sky
320,Yerbogachen,61.2767,108.0108,39.7,78,100,2.89,RU,overcast clouds
321,Namibe,-15.1961,12.1522,77.02,81,53,1.66,AO,broken clouds
322,Tabou,4.423,-7.3528,79.5,86,100,6.58,CI,light rain
323,Raudeberg,61.9875,5.1352,36.0,85,37,10.85,NO,scattered clouds
324,Pundaguitan,6.3711,126.1689,84.61,67,92,7.61,PH,overcast clouds
325,Nemuro,43.3236,145.575,35.6,87,75,9.22,JP,snow
326,Kahului,20.8947,-156.47,80.6,61,40,23.02,US,scattered clouds
